PassiveWidthSweep,VolProportionalWidth,ILMinimizer,ReactiveRecentering,PPO
7574.571841619037,7615.287517856587,7615.287517856587,-1634.5433245714446,4607.023896219425
7574.571841619037,7615.287517856587,7615.287517856587,-1634.5433245714446,8455.632577203582
7574.571841619037,7615.287517856587,7615.287517856587,-1634.5433245714446,1974.3976274335748
7574.571841619037,7615.287517856587,7615.287517856587,-1634.5433245714446,6261.225433733819
13512.434803576703,13517.434803576703,13517.434803576703,8312.410771408806,15576.296802594215
13512.434803576703,13517.434803576703,13517.434803576703,8312.410771408806,15576.296802594215
13512.434803576703,13517.434803576703,13517.434803576703,8312.410771408806,15576.296802594215
13512.434803576703,13517.434803576703,13517.434803576703,8312.410771408806,15031.523206999433
13512.434803576703,13517.434803576703,13517.434803576703,8312.410771408806,6750.655145795761
22607.464457383423,22594.66354087237,22594.66354087237,2288.5172269778523,12815.279822348632
22607.464457383423,22594.66354087237,22594.66354087237,2288.5172269778523,12810.279822348632
22607.464457383423,22594.66354087237,22594.66354087237,2288.5172269778523,9285.335836773957
22607.464457383423,22594.66354087237,22594.66354087237,2288.5172269778523,9285.335836773957
22607.464457383423,22594.66354087237,22594.66354087237,2288.5172269778523,9279.99868863948
22686.12333235871,21085.78377131909,21085.78377131909,13899.750136784778,27290.520791773943
22686.12333235871,21085.78377131909,21085.78377131909,13899.750136784778,22661.86770352403
22686.12333235871,21085.78377131909,21085.78377131909,13899.750136784778,27297.812867342967
22686.12333235871,21085.78377131909,21085.78377131909,13899.750136784778,22734.78538043556
22686.12333235871,21085.78377131909,21085.78377131909,13899.750136784778,27290.520791773943
19314.840398604432,19319.840398604432,19319.840398604432,34025.39824734339,37537.06421127377
19314.840398604432,19319.840398604432,19319.840398604432,34025.39824734339,21561.622611153707
19314.840398604432,19319.840398604432,19319.840398604432,34025.39824734339,43726.49746915921
19314.840398604432,19319.840398604432,19319.840398604432,34025.39824734339,37537.06421127377
19314.840398604432,19319.840398604432,19319.840398604432,34025.39824734339,37542.06421127377
16852.439771798752,16650.180500466966,16650.180500466966,10594.542028706604,20078.953090682047
16852.439771798752,16650.180500466966,16650.180500466966,10594.542028706604,10939.34266009008
16852.439771798752,16650.180500466966,16650.180500466966,10594.542028706604,7790.751808370846
16852.439771798752,16650.180500466966,16650.180500466966,10594.542028706604,10939.34266009008
16852.439771798752,16650.180500466966,16650.180500466966,10594.542028706604,20078.953090682047
24540.53136224176,24935.35857299165,24935.35857299165,60.38138589494801,14894.946128664787
24540.53136224176,24935.35857299165,24935.35857299165,60.38138589494801,8762.713276851358
24540.53136224176,24935.35857299165,24935.35857299165,60.38138589494801,-114.4317629452436
24540.53136224176,24935.35857299165,24935.35857299165,60.38138589494801,13890.106037558564
24540.53136224176,24935.35857299165,24935.35857299165,60.38138589494801,-2812.2016907441784
32943.074263071874,33105.562183295806,33105.562183295806,25723.50216087576,16007.882713641333
32943.074263071874,33105.562183295806,33105.562183295806,25723.50216087576,32744.77600463872
32943.074263071874,33105.562183295806,33105.562183295806,25723.50216087576,32744.77600463872
32943.074263071874,33105.562183295806,33105.562183295806,25723.50216087576,39994.24795382328
32943.074263071874,33105.562183295806,33105.562183295806,25723.50216087576,16007.882713641333
38436.63000218488,38441.63000218488,38441.63000218488,53400.26546843497,22429.790105741155
38436.63000218488,38441.63000218488,38441.63000218488,53400.26546843497,51233.10472831097
38436.63000218488,38441.63000218488,38441.63000218488,53400.26546843497,22430.95740321744
38436.63000218488,38441.63000218488,38441.63000218488,53400.26546843497,50883.72704478385
38436.63000218488,38441.63000218488,38441.63000218488,53400.26546843497,50883.72704478385
21433.03776814022,21438.03776814022,21438.03776814022,9411.805805135888,-2291.9279318656445
21433.03776814022,21438.03776814022,21438.03776814022,9411.805805135888,12817.929817688597
21433.03776814022,21438.03776814022,21438.03776814022,9411.805805135888,23526.97111925093
21433.03776814022,21438.03776814022,21438.03776814022,9411.805805135888,-2295.5522239249644
21433.03776814022,21438.03776814022,21438.03776814022,9411.805805135888,-2291.9279318656445
19010.668316232917,19015.668316232917,19015.668316232917,6753.423355103222,8764.817294581691
19010.668316232917,19015.668316232917,19015.668316232917,6753.423355103222,22203.02208415224
19010.668316232917,19015.668316232917,19015.668316232917,6753.423355103222,12097.075676704992
19010.668316232917,19015.668316232917,19015.668316232917,6753.423355103222,22203.02208415224
19010.668316232917,19015.668316232917,19015.668316232917,6753.423355103222,12097.075676704992
20840.69309819095,21009.860767095084,21009.860767095084,16839.465161205917,17880.162059752252
20840.69309819095,21009.860767095084,21009.860767095084,16839.465161205917,7515.109866408905
20840.69309819095,21009.860767095084,21009.860767095084,16839.465161205917,17574.153142344905
20840.69309819095,21009.860767095084,21009.860767095084,16839.465161205917,9805.447795863656
20840.69309819095,21009.860767095084,21009.860767095084,16839.465161205917,7466.3157367509
30914.79843440249,30967.919463679194,30967.919463679194,60307.27958150714,30497.09194734787
30914.79843440249,30967.919463679194,30967.919463679194,60307.27958150714,48530.480811898175
30914.79843440249,30967.919463679194,30967.919463679194,60307.27958150714,23047.10710435948
30914.79843440249,30967.919463679194,30967.919463679194,60307.27958150714,23847.00301148384
30914.79843440249,30967.919463679194,30967.919463679194,60307.27958150714,60663.65926614381
